,Name,Nation,Team,Position,Age,Matches Played,Starts,Minutes,Goals,Assists,Yellow Cards,Red Cards,Expected Goals (xG),Expected Assist Goals (xAG),Progressive Carries (PrgC),Progressive Passes (PrgP),Progressive Passes Received (PrgR),Goals per 90,Assists per 90,xG per 90,xAG per 90,Goals Against per 90 (GA90),Save Percentage (Save%),Clean Sheets Percentage (CS%),Penalty Kicks Save Percentage,Shots on Target Percentage (SoT%),Shots on Target per 90 (SoT/90),Goals per Shot (G/Sh),Average Shot Distance (Dist),Passes Completed (Cmp),Pass Completion Percentage (Cmp%),Total Passing Distance (TotDist),Short Pass Completion Percentage,Medium Pass Completion Percentage,Long Pass Completion Percentage,Key Passes (KP),Passes into Final Third (1/3),Passes into Penalty Area (PPA),Crosses into Penalty Area (CrsPA),Shot-Creating Actions (SCA),SCA per 90,Goal-Creating Actions (GCA),GCA per 90,Tackles (Tkl),Tackles Won (TklW),Challenges (Tkl),Challenges Lost (TklD),Blocks,Blocked Shots (Sh),Blocked Passes (Pass),Interceptions (Int),Touches,Touches in Defensive Penalty Area,Touches in Defensive Third,Touches in Middle Third,Touches in Attacking Third,Touches in Attacking Penalty Area,Take-Ons (Att),Take-On Success Percentage (Succ%),Take-On Tackled Percentage (Tkl%),Carries,Progressive Carrying Distance (TotDist),Carries into Final Third (1/3),Carries into Penalty Area (CPA),Miscontrols (Mis),Dispossessed (Dis),Passes Received (Rec),Fouls Committed (Fls),Fouls Drawn (Fld),Offsides (Off),Crosses (Crs),Ball Recoveries (Recov),Aerials Won (Won),Aerials Lost (Lost),Aerials Won Percentage (Won%),market_value,rating
135,Joe Aribo,NGA,Southampton,"MF,DF",28,30,20,1909.0,3,0,1,0,2.7,1.6,35,71,64,0.14,0.0,0.13,0.07,N/a,N/a,N/a,N/a,41.2,0.33,0.18,14.0,878,88.5,13041,91.3,90.9,68.9,16,50,4,1,37,1.75,1,0.05,44,30,34,17,24,9,15,20,1203,46,288,632,294,44,46,39.1,47.8,708,1923,28,12,25,16,879,20,28,1,10,110,25,21,54.3,€6.9M,63.3/64.1
136,Joe Willock,ENG,Newcastle Utd,"MF,FW",25,30,11,1026.0,0,2,3,0,1.6,1.9,36,38,82,0.0,0.18,0.14,0.17,N/a,N/a,N/a,N/a,17.6,0.26,0.0,15.4,281,82.4,4022,88.6,87.0,45.5,21,25,8,0,44,3.86,4,0.35,28,16,29,11,24,6,18,6,503,12,73,214,227,51,34,35.3,47.1,302,984,27,14,35,23,347,22,13,3,16,40,5,14,26.3,€35.8M,73.3/77.4
137,Joelinton,BRA,Newcastle Utd,"MF,FW",28,29,29,2393.0,4,3,10,0,3.9,2.5,40,116,110,0.15,0.11,0.15,0.09,N/a,N/a,N/a,N/a,28.9,0.49,0.09,14.0,863,82.7,12199,87.7,86.6,60.0,23,80,17,2,61,2.29,9,0.34,57,35,44,19,37,7,30,23,1360,67,256,670,448,83,46,32.6,60.9,729,1786,26,9,39,53,934,58,35,7,16,149,59,46,56.2,€47.5M,77.0/77.0
138,John McGinn,SCO,Aston Villa,"MF,FW",30,31,25,2052.0,1,4,7,0,2.9,3.4,31,96,72,0.04,0.18,0.13,0.15,N/a,N/a,N/a,N/a,19.2,0.22,0.04,16.2,658,82.5,11150,91.5,86.4,59.0,29,66,27,7,68,2.98,7,0.31,31,22,27,16,21,2,19,14,999,28,158,532,319,52,44,40.9,27.3,547,1194,16,6,33,25,700,43,67,3,54,94,16,11,59.3,€22.5M,77.0/77.0
139,Jordan Ayew,GHA,Leicester City,"FW,MF",33,27,16,1425.0,5,0,5,0,3.0,1.0,42,37,77,0.32,0.0,0.19,0.06,N/a,N/a,N/a,N/a,28.6,0.51,0.14,18.8,353,72.9,5238,86.5,73.7,38.9,14,22,12,7,35,2.21,2,0.13,24,13,19,13,16,0,16,12,708,18,92,356,282,49,59,39.0,50.8,425,1281,31,9,52,34,474,29,48,6,57,87,33,54,37.9,€4.2M,65.5/66.4
140,Jordan Pickford,ENG,Everton,GK,31,35,35,3150.0,0,1,7,0,0.0,0.4,0,0,0,0.0,0.03,0.0,0.01,1.23,71.1,28.6,100.0,,0.0,,,971,66.5,30852,99.3,98.4,46.3,2,68,8,0,12,0.34,2,0.06,1,0,2,1,0,0,0,1,1561,1009,1494,68,0,0,0,,,895,3246,0,0,2,0,788,0,7,0,0,31,4,1,80.0,€22.6M,75.3/75.3
141,Joshua Zirkzee,NED,Manchester Utd,"FW,MF",23,32,14,1402.0,3,1,2,0,4.8,1.5,14,44,69,0.19,0.06,0.31,0.1,N/a,N/a,N/a,N/a,39.3,0.71,0.11,13.1,292,71.2,3600,78.1,74.4,50.0,12,26,6,0,31,1.99,3,0.19,14,8,10,5,15,4,11,6,587,16,71,303,219,56,35,31.4,68.6,327,523,21,4,41,30,418,9,13,3,4,57,21,54,28.0,€43.7M,73.5/80.1
142,José Sá,POR,Wolves,GK,32,27,27,2430.0,0,0,2,0,0.0,0.1,0,2,0,0.0,0.0,0.0,0.01,1.67,62.0,25.9,33.3,,0.0,,,544,63.8,14150,99.1,97.1,30.8,2,18,1,0,4,0.15,0,0.0,2,2,2,0,0,0,0,0,911,725,903,9,0,0,7,100.0,0.0,565,2205,0,0,1,0,450,4,8,0,0,31,9,1,90.0,€8.5M,69.9/69.9
143,João Gomes,BRA,Wolves,MF,24,33,33,2781.0,3,1,10,1,2.7,1.2,53,148,68,0.1,0.03,0.09,0.04,N/a,N/a,N/a,N/a,21.2,0.23,0.09,18.1,1262,84.9,18027,91.0,85.6,60.7,22,107,22,1,62,2.01,3,0.1,105,62,102,60,42,4,38,25,1843,59,404,1014,451,42,57,45.6,43.9,957,2593,50,6,38,49,1230,67,41,1,27,178,9,24,27.3,€51.1M,71.4/77.2
144,João Pedro,BRA,Brighton,"FW,MF",23,27,23,1948.0,10,6,4,1,8.9,5.0,66,78,128,0.46,0.28,0.41,0.23,N/a,N/a,N/a,N/a,35.7,0.69,0.12,17.2,482,72.9,6847,78.7,75.1,65.9,30,42,36,5,72,3.32,9,0.42,16,12,11,7,12,0,12,9,940,12,60,387,508,122,86,33.7,54.7,616,1821,39,30,72,38,732,26,46,2,22,59,41,43,48.8,€61.3M,71.0/78.5
145,Joël Veltman,NED,Brighton,DF,33,20,19,1665.0,0,0,4,0,0.5,0.5,30,80,32,0.0,0.0,0.03,0.02,N/a,N/a,N/a,N/a,16.7,0.05,0.0,19.7,719,79.9,12118,89.9,80.4,63.3,6,62,8,5,22,1.19,1,0.05,42,28,51,21,22,7,15,18,1102,65,328,544,240,10,15,26.7,33.3,526,1448,22,3,19,7,599,27,42,0,23,68,21,18,53.8,€5.7M,74.8/74.8
146,Joško Gvardiol,CRO,Manchester City,DF,23,34,33,3007.0,5,0,2,0,4.4,2.0,81,251,98,0.15,0.0,0.13,0.06,N/a,N/a,N/a,N/a,29.7,0.33,0.14,13.0,2321,90.9,37878,94.4,93.2,68.9,25,237,20,1,69,2.07,7,0.21,51,34,37,18,40,20,20,38,2903,142,725,1474,727,85,40,57.5,35.0,1886,5715,92,13,25,16,2132,13,23,2,19,132,48,33,59.3,€78.7M,79.4/91.0
147,Justin Kluivert,NED,Bournemouth,"MF,FW",26,31,27,2161.0,12,6,8,0,10.0,4.8,74,95,153,0.5,0.25,0.42,0.2,N/a,N/a,N/a,N/a,41.5,0.92,0.11,20.4,533,74.3,8212,83.6,76.7,53.1,45,41,32,6,95,3.95,11,0.46,21,9,21,17,24,0,24,13,996,23,93,342,581,115,82,40.2,47.6,594,2161,52,34,50,26,653,42,29,5,80,73,7,25,21.9,€44.8M,79.3/81.7
148,Jørgen Strand Larsen,NOR,Wolves,FW,25,32,29,2463.0,13,2,4,0,10.0,2.4,16,28,106,0.48,0.07,0.37,0.09,N/a,N/a,N/a,N/a,60.4,1.17,0.25,11.4,272,63.1,3547,70.5,63.2,70.0,19,18,4,1,40,1.46,5,0.18,9,6,27,23,18,4,14,5,695,34,83,329,284,104,17,41.2,58.8,328,446,13,9,88,32,507,46,18,14,6,42,66,96,40.7,€30.8M,72.5/76.7
149,Kai Havertz,GER,Arsenal,"FW,MF",25,21,21,1839.0,9,3,4,0,9.4,2.4,34,59,110,0.44,0.15,0.46,0.12,N/a,N/a,N/a,N/a,40.4,1.03,0.17,11.7,401,78.5,4833,84.1,82.5,45.5,16,26,8,1,41,2.01,3,0.15,16,9,15,11,22,4,18,6,768,31,88,282,403,103,38,23.7,63.2,411,922,23,18,42,22,575,36,21,14,11,39,62,73,45.9,€70.5M,85.1/89.1
150,Kalvin Phillips,ENG,Ipswich Town,MF,29,19,14,1237.0,0,0,6,1,0.4,0.2,4,51,4,0.0,0.0,0.03,0.02,N/a,N/a,N/a,N/a,18.2,0.15,0.0,24.3,436,79.1,8581,83.1,86.7,61.2,5,49,6,1,17,1.24,3,0.22,35,19,39,24,35,6,29,19,739,61,223,398,122,5,12,41.7,50.0,310,569,5,0,25,10,394,28,20,0,20,68,7,22,24.1,€17.2M,66.6/66.7
151,Kamaldeen Sulemana,GHA,Southampton,"FW,MF",23,23,14,1178.0,1,1,2,0,1.4,1.0,57,26,76,0.08,0.08,0.1,0.08,N/a,N/a,N/a,N/a,30.8,0.61,0.04,18.8,253,79.8,3667,89.4,82.4,44.4,10,6,13,7,28,2.14,3,0.23,16,14,13,5,9,0,9,6,509,13,65,190,272,50,92,35.9,55.4,331,1409,34,23,37,22,358,19,10,2,25,52,9,21,30.0,€18.5M,65.6/71.7
152,Kaoru Mitoma,JPN,Brighton,"FW,MF",27,33,28,2521.0,9,3,1,0,8.8,4.4,138,82,277,0.32,0.11,0.31,0.16,N/a,N/a,N/a,N/a,46.3,0.89,0.17,13.9,701,75.3,9130,86.9,70.5,44.0,35,34,32,8,83,2.96,8,0.29,43,26,46,28,46,3,43,13,1300,15,149,445,734,156,127,38.6,57.5,786,3663,76,55,49,22,911,39,23,5,72,92,24,27,47.1,€50.6M,80.2/80.2
153,Keane Lewis-Potter,ENG,Brentford,"DF,FW",24,35,33,2839.0,1,3,6,0,2.6,3.0,92,90,144,0.03,0.1,0.08,0.1,N/a,N/a,N/a,N/a,51.9,0.44,0.04,20.5,900,77.3,14851,89.6,79.4,48.8,23,61,41,14,67,2.12,8,0.25,44,26,44,18,24,9,15,19,1473,94,450,573,469,69,97,40.2,50.5,783,2971,63,34,43,19,878,16,29,4,71,136,26,34,43.3,€27.1M,71.8/77.4
154,Kenny Tete,NED,Fulham,DF,29,19,18,1504.0,0,2,4,0,1.2,0.9,33,50,47,0.0,0.12,0.07,0.05,N/a,N/a,N/a,N/a,9.1,0.12,0.0,16.1,669,81.3,10740,91.7,80.3,61.8,7,60,9,6,32,1.91,3,0.18,50,34,34,14,22,6,16,29,1033,58,332,422,287,32,19,42.1,31.6,534,1229,20,7,16,10,596,28,14,1,29,65,18,12,60.0,€14M,70.7/71.6
155,Kepa Arrizabalaga,ESP,Bournemouth,GK,30,28,28,2520.0,0,0,3,0,0.1,0.0,0,2,0,0.0,0.0,0.0,0.0,1.25,75.4,25.0,0.0,0.0,0.0,0.0,9.7,671,71.9,18595,98.1,98.3,47.8,1,9,0,0,4,0.14,0,0.0,1,0,2,2,1,0,1,0,990,732,961,28,1,1,1,100.0,0.0,557,1588,0,0,0,0,435,2,5,0,0,52,7,1,87.5,€12M,72.2/75.0
156,Kevin De Bruyne,BEL,Manchester City,"MF,FW",33,25,17,1538.0,4,7,2,0,3.8,7.6,47,135,137,0.23,0.41,0.22,0.44,N/a,N/a,N/a,N/a,28.6,0.82,0.08,21.7,799,76.0,13542,85.5,76.8,57.8,51,80,51,11,104,6.08,11,0.64,17,9,23,18,8,0,8,7,1210,10,73,408,739,71,32,37.5,50.0,711,1860,45,18,24,26,907,16,16,5,122,56,4,15,21.1,€20.1M,84.9/84.9
157,Kevin Schade,GER,Brentford,FW,23,35,23,2069.0,10,2,3,0,7.7,3.4,56,32,146,0.43,0.09,0.33,0.15,N/a,N/a,N/a,N/a,46.0,1.0,0.2,11.6,290,58.2,4497,68.4,60.1,42.9,20,29,9,3,50,2.18,9,0.39,35,23,20,8,17,2,15,5,804,37,135,221,463,129,81,35.8,56.8,399,1275,26,35,54,34,497,20,33,13,36,78,81,65,55.5,€29.7M,71.1/76.5
158,Kieran Trippier,ENG,Newcastle Utd,DF,34,24,14,1281.0,0,3,1,0,0.1,1.3,25,111,53,0.0,0.21,0.01,0.09,N/a,N/a,N/a,N/a,0.0,0.0,0.0,22.2,1000,82.1,17045,94.3,85.3,47.6,19,67,20,2,50,3.51,6,0.42,37,20,35,14,11,3,8,12,1347,50,373,594,389,12,8,50.0,50.0,587,1158,14,4,11,8,818,16,11,2,79,65,21,15,58.3,€5.1M,69.5/69.5
159,Kobbie Mainoo,ENG,Manchester Utd,MF,20,22,18,1506.0,0,0,5,0,0.6,1.6,21,59,42,0.0,0.0,0.03,0.09,N/a,N/a,N/a,N/a,15.4,0.12,0.0,20.8,663,86.3,8794,92.1,87.6,70.7,14,46,9,0,30,1.79,2,0.12,42,25,36,14,16,2,14,19,980,24,183,555,251,33,49,46.9,49.0,602,1131,14,10,34,34,696,27,19,2,5,79,19,27,41.3,€66M,68.8/87.2
160,Konstantinos Mavropanos,GRE,West Ham,DF,27,31,20,1947.0,0,0,6,1,1.5,0.5,16,60,2,0.0,0.0,0.07,0.02,N/a,N/a,N/a,N/a,27.8,0.23,0.0,14.8,1013,85.8,19974,91.0,92.3,58.4,5,60,4,1,16,0.74,0,0.0,32,22,25,11,23,17,6,38,1432,221,746,632,62,24,17,52.9,29.4,794,2124,10,1,12,0,936,17,14,3,2,68,56,24,70.0,€19.1M,68.8/69.2
161,Kristoffer Ajer,NOR,Brentford,DF,27,22,17,1405.0,0,0,5,0,0.8,1.2,27,54,42,0.0,0.0,0.05,0.08,N/a,N/a,N/a,N/a,37.5,0.19,0.0,10.2,489,78.1,7626,86.7,79.7,49.1,8,42,7,4,18,1.15,2,0.13,25,17,26,12,17,4,13,12,773,52,260,359,160,35,16,43.8,50.0,378,1172,11,2,15,12,481,12,6,1,14,42,27,22,55.1,€21.5M,71.9/72.1
162,Kyle Walker-Peters,ENG,Southampton,DF,28,33,33,2918.0,0,2,5,0,0.8,2.8,114,139,144,0.0,0.06,0.03,0.09,N/a,N/a,N/a,N/a,30.0,0.19,0.0,18.3,1493,88.2,22418,93.9,90.0,60.2,24,119,30,4,63,1.94,7,0.22,44,29,35,19,27,15,12,19,2022,151,615,884,540,59,92,41.3,42.4,1271,4373,72,24,32,39,1433,28,52,2,51,135,11,21,34.4,€16.6M,65.5/67.6
163,Leandro Trossard,BEL,Arsenal,FW,30,35,26,2354.0,8,5,4,1,6.8,5.3,75,95,207,0.31,0.19,0.26,0.2,N/a,N/a,N/a,N/a,30.9,0.8,0.12,15.9,632,73.7,10332,85.2,76.3,51.2,37,41,43,9,80,3.06,6,0.23,26,17,31,22,31,0,31,9,1149,15,120,361,685,143,72,41.7,44.4,733,1942,49,29,57,43,857,25,43,6,79,93,6,22,21.4,€31.8M,79.5/79.5
164,Leif Davis,ENG,Ipswich Town,DF,25,31,30,2563.0,1,2,5,1,0.9,4.3,48,55,117,0.04,0.07,0.03,0.15,N/a,N/a,N/a,N/a,14.3,0.07,0.07,20.4,854,71.5,14708,86.0,77.4,37.3,54,30,26,11,85,2.98,4,0.14,45,26,46,17,24,8,16,25,1459,115,517,484,477,36,37,35.1,45.9,659,1940,27,10,36,14,770,25,30,3,148,111,33,22,60.0,€28.2M,67.0/73.9
165,Leny Yoro,FRA,Manchester Utd,DF,19,20,11,1114.0,0,0,5,0,0.7,0.1,19,52,4,0.0,0.0,0.06,0.01,N/a,N/a,N/a,N/a,20.0,0.08,0.0,8.6,667,92.1,10721,95.3,93.9,65.0,2,43,5,1,8,0.65,0,0.0,26,11,17,6,5,3,2,18,847,83,395,385,70,13,4,50.0,50.0,577,1646,13,1,3,4,615,9,2,1,1,45,16,15,51.6,€71M,70.5/88.1
166,Leon Bailey,JAM,Aston Villa,"FW,MF",27,23,14,1138.0,1,2,3,0,1.7,1.5,57,35,121,0.08,0.16,0.14,0.12,N/a,N/a,N/a,N/a,21.4,0.47,0.04,17.3,273,70.7,4275,81.4,81.1,47.4,16,16,20,2,38,3.01,4,0.32,6,4,10,8,6,0,6,3,539,18,76,155,318,69,57,38.6,42.1,344,1334,22,33,35,25,386,12,18,3,34,59,6,9,40.0,€39.2M,76.2/77.5
167,Lesley Ugochukwu,FRA,Southampton,MF,21,24,16,1525.0,1,1,6,0,0.9,1.0,29,49,20,0.06,0.06,0.05,0.06,N/a,N/a,N/a,N/a,10.0,0.06,0.1,17.0,570,84.9,8828,88.2,91.5,59.5,14,52,7,1,23,1.36,1,0.06,49,24,33,15,26,9,17,14,838,46,199,478,167,24,26,69.2,26.9,459,1195,15,6,12,13,570,28,14,0,6,62,20,17,54.1,€27M,62.1/74.4
168,Levi Colwill,ENG,Chelsea,DF,22,32,32,2879.0,1,1,8,0,1.3,1.1,13,125,11,0.03,0.03,0.04,0.04,N/a,N/a,N/a,N/a,18.8,0.09,0.06,9.9,2211,89.6,40277,92.8,95.3,57.0,14,144,7,3,38,1.19,3,0.09,42,30,25,9,35,24,11,32,2728,344,1280,1330,129,35,10,60.0,40.0,1543,3886,11,1,13,8,1996,42,19,4,13,110,76,51,59.8,€56.6M,78.1/91.4
169,Lewis Cook,ENG,Bournemouth,"MF,DF",28,34,30,2816.0,1,3,8,0,0.9,4.1,33,153,49,0.03,0.1,0.03,0.13,N/a,N/a,N/a,N/a,28.6,0.13,0.07,23.4,1158,76.8,20150,84.8,85.1,45.5,48,150,26,11,87,2.78,5,0.16,80,42,66,30,30,11,19,40,1814,85,427,954,453,19,18,61.1,38.9,791,2113,29,4,29,17,904,46,10,3,127,182,40,34,54.1,€19.3M,72.7/73.6
170,Lewis Dunk,ENG,Brighton,DF,33,25,23,2083.0,0,0,5,0,0.8,0.5,20,142,3,0.0,0.0,0.03,0.02,N/a,N/a,N/a,N/a,25.0,0.13,0.0,12.1,1778,91.0,32940,96.4,95.2,62.7,6,157,6,0,19,0.82,3,0.13,17,10,19,8,28,18,10,13,2127,258,993,1031,113,21,1,0.0,100.0,1341,3345,19,0,9,3,1556,7,11,2,5,104,51,31,62.2,€7.4M,69.6/71.0
171,Lewis Hall,ENG,Newcastle Utd,DF,20,27,24,2189.0,0,4,3,0,0.4,4.3,41,123,80,0.0,0.16,0.02,0.18,N/a,N/a,N/a,N/a,9.1,0.04,0.0,18.8,1300,81.7,21999,91.3,85.1,51.5,34,114,17,5,63,2.59,6,0.25,58,41,74,34,33,18,15,18,1820,95,623,804,414,47,21,52.4,33.3,950,2358,22,13,33,20,1094,9,21,1,110,119,30,31,49.2,€34.5M,72.1/88.0
172,Liam Delap,ENG,Ipswich Town,FW,22,34,31,2491.0,12,2,10,0,9.3,1.9,60,30,105,0.43,0.07,0.34,0.07,N/a,N/a,N/a,N/a,43.8,1.01,0.16,16.0,211,61.2,2913,70.7,63.5,39.1,21,16,6,0,62,2.24,7,0.25,10,7,14,12,8,0,8,2,659,29,78,277,326,89,84,46.4,42.9,436,1570,46,29,99,58,519,67,50,13,5,66,53,69,43.4,€37M,65.8/75.1
173,Lisandro Martínez,ARG,Manchester Utd,DF,27,20,20,1751.0,2,1,7,0,1.3,1.1,23,117,7,0.1,0.05,0.07,0.06,N/a,N/a,N/a,N/a,35.3,0.31,0.12,15.9,1200,89.4,20292,94.2,93.0,55.2,9,91,18,2,26,1.34,2,0.1,40,24,36,15,22,8,14,32,1524,156,713,697,125,18,7,85.7,14.3,1017,3129,23,2,1,3,1069,22,7,0,9,81,16,13,55.2,€49.2M,73.0/74.5
